encoder,opn,pre_type,use_static,use_cl,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,False,False,0,2024-12-04 20:57:55.240680,0.9,7,7,0.07,0.001,200,0.22662892937660217,0.1343037188053131,0.24396461248397827,0.4167133569717407,0.23205547034740448,0.14114421606063843,0.2494225949048996,0.41841694712638855,0.2218732088804245,0.12942396849393845,0.23939445614814758,0.411247193813324,0.22934219241142273,0.13772396743297577,0.24669360369443893,0.41756515204906464
uvrgcn,sub,all,False,False,0,2024-12-11 20:37:13.864736,0.9,7,7,0.07,0.001,200,0.22411295771598816,0.13053947687149048,0.24167461693286896,0.4175684154033661,0.23060308396816254,0.13871006667613983,0.24852821230888367,0.4190066456794739,0.22000452876091003,0.12653608620166779,0.23775804042816162,0.41203345358371735,0.22735801339149475,0.13462477177381516,0.2451014146208763,0.41828753054142
uvrgcn,sub,all,False,False,0,2024-12-12 19:50:27.211600,0.9,7,7,0.07,0.001,200,0.22581151127815247,0.1329277604818344,0.24379098415374756,0.4161564111709595,0.23197144269943237,0.1409902423620224,0.24978624284267426,0.41798120737075806,0.22136369347572327,0.12850338220596313,0.2395484298467636,0.41095562279224396,0.22889147698879242,0.1369590014219284,0.2467886134982109,0.41706880927085876
uvrgcn,sub,all,False,False,0,2024-12-13 21:46:50.766082,0.9,7,7,0.07,0.001,200,0.22765468060970306,0.1353750079870224,0.24555352330207825,0.41621866822242737,0.23469622433185577,0.14384372532367706,0.2531213164329529,0.4191737174987793,0.22357845306396484,0.13109805434942245,0.24181221425533295,0.41171894967556,0.23117545247077942,0.13960936665534973,0.24933741986751556,0.41769619286060333
uvrgcn,sub,all,False,False,0,2024-12-14 20:24:17.880522,0.9,6,6,0.07,0.001,200,0.22450591623783112,0.13146661221981049,0.24250346422195435,0.4150785803794861,0.2306825816631317,0.13903112709522247,0.24881324172019958,0.41736531257629395,0.22008116543293,0.12684567645192146,0.238419808447361,0.4100022614002228,0.227594256401062,0.13524886965751648,0.24565835297107697,0.41622194647789
uvrgcn,sub,all,False,False,0,2024-12-15 20:57:50.885220,0.9,10,10,0.07,0.001,200,0.2127383053302765,0.12061617523431778,0.22971029579639435,0.3985932469367981,0.21964576840400696,0.1286393404006958,0.2372387796640396,0.4032911956310272,0.2092849612236023,0.11715824902057648,0.226407989859581,0.39509110152721405,0.21619203686714172,0.12462775781750679,0.23347453773021698,0.40094222128391266
uvrgcn,sub,all,False,False,0,2025-02-02 02:27:21.724375,0.9,7,7,0.07,0.001,200,0.22399045526981354,0.1311488300561905,0.24138960242271423,0.4152194559574127,0.2283601611852646,0.13689184188842773,0.24613666534423828,0.4156322479248047,0.2188853919506073,0.1259562149643898,0.23659338802099228,0.40928971767425537,0.22617530822753906,0.1340203359723091,0.24376313388347626,0.4154258519411087
uvrgcn,sub,all,False,True,0,2025-03-02 19:01:42.263237,0.9,7,7,0.07,0.001,200,0.23311659693717957,0.14159631729125977,0.2514963746070862,0.41932442784309387,0.238372802734375,0.14870873093605042,0.2570100426673889,0.4195832312107086,0.22797545790672302,0.13640206307172775,0.24661006033420563,0.4134749472141266,0.23574469983577728,0.1451525241136551,0.25425320863723755,0.41945382952690125
uvrgcn,sub,all,False,True,0,2025-03-03 11:51:25.940544,0.9,7,7,0.07,0.001,200,0.235077366232872,0.1434866189956665,0.2534390985965729,0.422112375497818,0.2403310388326645,0.15038609504699707,0.2585170567035675,0.4225710332393646,0.22990275919437408,0.13817770779132843,0.24833820015192032,0.41634152829647064,0.23770420253276825,0.1469363570213318,0.2559780776500702,0.4223417043685913
uvrgcn,sub,all,False,True,0,2025-03-04 00:18:17.592447,0.9,6,6,0.07,0.001,200,0.23449483513832092,0.14284451305866241,0.2528133690357208,0.42184701561927795,0.23976624011993408,0.14979639649391174,0.25811082124710083,0.42276105284690857,0.2293250858783722,0.13753394782543182,0.24766169488430023,0.4160974472761154,0.2371305376291275,0.14632045477628708,0.2554620951414108,0.42230403423309326
